,Random Forest importance,Logistic coefficient
numeric__tenure,0.1198746489485367,-1.2866797412919921
numeric__TotalCharges,0.10190219965527707,0.32090059462213893
numeric__MonthlyCharges,0.09593677486893928,-0.24572156554594413
numeric__average_monthly_spend,0.09546713293736392,0.19175543799174202
categorical__Contract_Month-to-month,0.08383223829437027,0.6898813435393659
categorical__InternetService_Fiber optic,0.0436811045105386,0.7860035582741453
categorical__tenure_group_0-12,0.04287571711960596,-0.0878646915024387
categorical__PaymentMethod_Electronic check,0.03983376197346596,0.1916937999422774
categorical__InternetService_No,0.02306137784265555,-0.9260776841209779
categorical__Contract_Two year,0.022639089871400078,-0.8025508535901063
numeric__services_count,0.022280109052888013,-0.10463991474530193
categorical__tenure_group_49+,0.019603273244448542,0.46918412670762916
categorical__PaperlessBilling_Yes,0.015295859491362548,0.03520567403803536
categorical__OnlineSecurity_No,0.013858164455549176,0.058138104165348696
categorical__gender_Female,0.012492425218223555,-0.10144582526272898
